"","paperName","researcher","journal","citation","year"
"50","Education and HIV/AIDS prevention: evidence from a randomized evaluation in Western Kenya","E Duflo, P Dupas, M Kremer, S Sinei","The World Bank, 2006","250","2006"
"51","Marketization of household production and the EU–US gap in work","RB Freeman, R Schettkat","Economic policy 20 (41), 6-50, 2005","245","2005"
"52","Long-run health impacts of income shocks: Wine and phylloxera in nineteenth-century France","A Banerjee, E Duflo, G Postel-Vinay, T Watts","The Review of Economics and Statistics 92 (4), 714-728, 2010","241","2010"
"53","Marry for what? Caste and mate selection in modern India","A Banerjee, E Duflo, M Ghatak, J Lafortune","American Economic Journal: Microeconomics 5 (2), 33-72, 2013","233","2013"
"54","Health care delivery in rural Rajasthan","A Banerjee, A Deaton, E Duflo","Economic and Political Weekly, 944-949, 2004","233","2004"
"55","Impact of reservation in Panchayati Raj: Evidence from a nationwide randomised experiment","R Chattopadhyay, E Duflo","Economic and political Weekly, 979-986, 2004","229","2004"
"56","Double/debiased machine learning for treatment and structural parameters","V Chernozhukov, D Chetverikov, M Demirer, E Duflo, C Hansen, ...","The Econometrics Journal 21 (1), C1-C68, 2018","216","2018"
"57","Being surveyed can change later behavior and related parameter estimates","AP Zwane, J Zinman, E Van Dusen, W Pariente, C Null, E Miguel, ...","Proceedings of the National Academy of Sciences 108 (5), 1821-1826, 2011","216","2011"
"58","Poor but rational","E Duflo","Understanding poverty, 367-78, 2006","215","2006"
"59","Truth-telling by third-party auditors and the response of polluting firms: Experimental evidence from India","E Duflo, M Greenstone, R Pande, N Ryan","The Quarterly Journal of Economics 128 (4), 1499-1545, 2013","213","2013"
"60","Giving credit where it is due","AV Banerjee, E Duflo","Journal of Economic Perspectives 24 (3), 61-80, 2010","213","2010"
"61","Indoor air pollution, health and economic well-being","E Duflo, M Greenstone, R Hanna","SAPI EN. S. Surveys and Perspectives Integrating Environment and Society, 2008","211","2008"
"62","The medium run effects of educational expansion: Evidence from a large school construction program in Indonesia","E Duflo","Journal of Development Economics 74 (1), 163-197, 2004","193","2004"
"63","Gossip: Identifying central individuals in a social network","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","National Bureau of Economic Research, 2014","191","2014"
"64","Scaling up and evaluation","E Duflo","Annual World Bank Conference on Development Economics 2004, 341-369, 2004","191","2004"
"65","The miracle of microfinance","A Banerjee, E Duflo, R Glennerster, C Kinnan","Evidence from a randomized evaluation 40, 2009","176","2009"
"66","Field experiments in development economics","E Duflo","Econometric Society Monographs 42, 322, 2006","174","2006"
"67","Educational production in Europe","L Woessmann","Economic policy 20 (43), 446-504, 2005","172","2005"
"68","Gender equality in development","E Duflo","BREAD Policy Paper 11 (4), 2005","167","2005"
"69","Comparative cost-effectiveness analysis to inform policy in developing countries: a general framework with applications for education","I Dhaliwal, E Duflo, R Glennerster, C Tulloch","Education policy in developing countries, 285-338, 2013","161","2013"
"70","Why political reservations?","E Duflo","Journal of the European Economic Association 3 (2-3), 668-678, 2005","127","2005"
"71","Poor economics","E Duflo, A Banerjee","PublicAffairs, 2011","125","2011"
"72","Le développement humain","E Duflo","Lutter contre la pauvreté, 2010","118","2010"
"73","Unappreciated service: Performance, perceptions, and women leaders in India","E Duflo, P Topalova","Manuscript, Department of Economics, Massachusetts Institute of Technology, 2004","113","2004"
"74","Banking reform in India","A Banerjee, S Cole, E Duflo","India policy forum 1 (1), 277-332, 2004","111","2004"
"75","Peer effects and the impact of tracking: Evidence from a randomized evaluation in Kenya","E Duflo, P Dupas, M Kremer","CEPR Discussion Paper No. DP7043, 2008","108","2008"
"76","Political reservation and substantive representation: Evidence from Indian village councils","L Beaman, E Duflo, R Pande, P Topalova","India Policy Forum 2010/11, 159-191, 2010","105","2010"
"77","Poor Economics: Barefoot Hedge-fund Managers, DIY Doctors and the Surprising Truth about Life on Less Than 1 [dollar] a Day","AV Banerjee, E Duflo","Penguin Books, 2012","100","2012"
"78","Peer effects, pupil-teacher ratios, and teacher incentives: Evidence from a randomized evaluation in Kenya","E Duflo, P Dupas, M Kremer","working paper, MIT Poverty Action Lab, 2007","96","2007"
"79","Double machine learning for treatment and causal parameters","V Chernozhukov, D Chetverikov, M Demirer, E Duflo, C Hansen, ...","cemmap working paper, 2016","95","2016"
"80","Expérience, science et lutte contre la pauvreté","E Duflo","Fayard, 2009","93","2009"
"81","Additional resources versus organizational changes in education: Experimental evidence from Kenya","E Duflo, P Dupas, M Kremer","Unpublished manuscript. Abdul Latif Jameel Poverty Action Lab (JPAL<U+00A0>…, 2009","88","2009"
"82","Understanding technology adoption: Fertilizer in Western Kenya, preliminary results from field experiments","E Duflo, M Kremer, J Robinson","Unpublished manuscript, Massachusetts Institute of Technology, 2004","88","2004"
"83","Bank financing in India","A Banerjee, S Cole, E Duflo","India’s and China’s recent experience with reform and growth, 138-157, 2005","87","2005"
"84","Human values and the design of the fight against poverty","E Duflo","Tanner Lectures, 2012","86","2012"
"85","Repenser la pauvreté","AV Banerjee, E Duflo","éd. du Seuil, 2012","84","2012"
"86","Richard T. Ely Lecture: The Economist as Plumber","E Duflo","American Economic Review 107 (5), 1-26, 2017","83","2017"
"87","Women as Policy Makers: Evidence from a India-Wide Randomized Policy Experiment","R Chattopadhyay, E Duflo","National Bureau of Economic Research, 2001","83","2001"
"88","Bundling health insurance and microfinance in India: There cannot be adverse selection if there is no demand","A Banerjee, E Duflo, R Hornbeck","American Economic Review 104 (5), 291-97, 2014","82","2014"
"89","Institute for Financial Management and Research Centre for Micro Finance","A Banerjee, E Duflo, R Chattopadhyay, J Shapiro",NA,"82","2011"
"90","Cooking stoves, indoor air pollution and respiratory health in rural Orissa","E Duflo, M Greenstone, R Hanna","Economic and Political Weekly, 71-76, 2008","82","2008"
"91","From proof of concept to scalable policies: challenges and solutions, with an application","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukerji, M Shotland, ...","Journal of Economic Perspectives 31 (4), 73-102, 2017","75","2017"
"92","The (mis) allocation of capital","AV Banerjee, E Duflo, K Munshi","Journal of the European Economic Association 1 (2-3), 484-494, 2003","70","2003"
"93","Can institutions be reformed from within? Evidence from a randomized experiment with the Rajasthan police","AV Banerjee, R Chattopadhyay, E Duflo, D Keniston, N Singh","CEPR Discussion Paper No. DP8869, 2012","68","2012"
"94","Implications of pension plan features, information, and social interactions for retirement saving decisions","E Duflo, E Saez","Pension design and structure: New lessons from behavioral finance, 137-153, 2004","66","2004"
"95","Do credit constraints limit entrepreneurship? Heterogeneity in the returns to microfinance","AV Banerjee, E Breza, E Duflo, C Kinnan","Heterogeneity in the Returns to Microfinance (September 1, 2017). Buffett<U+00A0>…, 2017","65","2017"
"96","Do firms want to borrow more","A Banerjee, E Duflo","Testing Credit Constraints Using a Directed Lending Program. CEPR Discussion<U+00A0>…, 2004","64","2004"
"97","Poor economics: rethinking poverty & the ways to end it","AV Banerjee, E Duflo","Random House India, 2011","63","2011"
"98","Toilets can work: Short and medium run health impacts of addressing complementarities and externalities in water and sanitation","E Duflo, M Greenstone, R Guiteras, T Clasen","National Bureau of Economic Research, 2015","61","2015"
"99","Women as policy makers: Evidence from a randomized policy experiment in India","E Duflo, R Chattopadhyay","eSocialSciences Working Papers, 2016","59","2016"
"100","L'approche expérimentale en économie du développement","AV Banerjee, E Duflo","Revue d'économie politique 119 (5), 691-726, 2009","57","2009"
"101","Double/debiased/neyman machine learning of treatment effects","V Chernozhukov, D Chetverikov, M Demirer, E Duflo, C Hansen, ...","American Economic Review 107 (5), 261-65, 2017","56","2017"
"102","Improving police performance in Rajasthan, India: Experimental evidence on incentives, managerial autonomy and training","A Banerjee, R Chattopadhyay, E Duflo, D Keniston, N Singh","National Bureau of Economic Research, 2012","55","2012"
"103","Can information campaigns spark local participation and improve outcomes? A study of primary education in Uttar Pradesh, India","A Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","The World Bank, 2006","55","2006"
"104","Computer-assisted learning: Evidence from a randomized experiment","L Linden, A Banerjee, E Duflo","Poverty Action Lab Paper 5, 2003","55","2003"
"105","(Dis) organization and Success in an Economics MOOC","AV Banerjee, E Duflo","American Economic Review 104 (5), 514-18, 2014","50","2014"
"106","Factors affecting non-adherence among patients diagnosed with unipolar depression in a psychiatric department of a tertiary hospital in Kolkata, India","S Banerjee, RP Varma","Depression research and treatment 2013, 2013","50","2013"
"107","The economic lives of the poor","E Duflo, A Banerjee","Journal of Economic Perspectives 21 (1), 141-167, 2007","49","2007"
"108","Nondeterminism with referential transparency in functional programming languages","FW Burton","The Computer Journal 31 (3), 243-247, 1988","48","1988"
"109","The value of regulatory discretion: Estimates from environmental inspections in India","E Duflo, M Greenstone, R Pande, N Ryan","Econometrica 86 (6), 2123-2160, 2018","47","2018"
"110","Repensar la pobreza: un giro radical en la lucha contra la desigualdad global","A Banerjee, E Duflo","Taurus, 2012","45","2012"
"111","Can information campaigns raise awareness and local participation in primary education?","A Banerjee, R Banerji, E Duflo, R Glennerster, D Kenniston, S Khemani, ...","Economic and Political Weekly, 1365-1372, 2007","45","2007"
"112","Women's leadership and policy decisions: Evidence from a nationwide randomized experiment in India","R Chattopadhyay, E Duflo","Boston University, Institute for Economic Development, 2001","44","2001"
"113","E-governance, accountability, and leakage in public programs: Experimental evidence from a financial management reform in india","A Banerjee, E Duflo, C Imbert, S Mathew, R Pande","National Bureau of Economic Research, 2016","43","2016"
"114","Mandated empowerment: handing antipoverty policy back to the poor?","AV Banerjee, E Duflo","Annals of the new York Academy of sciences 1136 (1), 333-341, 2008","43","2008"
"115","More than 1 billion people are hungry in the world","A Banerjee, E Duflo","Foreign Policy, 66-72, 2011","41","2011"
"116","Mainstreaming an effective intervention: Evidence from randomized evaluations of “Teaching at the Right Level” in India","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukherji, ...","National Bureau of Economic Research, 2016","40","2016"
"117","Savings incentives for low-and moderate-income families in the United States: why is the saver's credit not more effective?","E Duflo, W Gale, J Liebman, P Orszag, E Saez","Journal of the European Economic Association 5 (2-3), 647-661, 2007","40","2007"
"118","Generic machine learning inference on heterogenous treatment effects in randomized experiments","V Chernozhukov, M Demirer, E Duflo, I Fernandez-Val","National Bureau of Economic Research, 2018","39","2018"
"119","Repensar la pobreza","A Banerjee, E Duflo","Un giro radical en la lucha contra la desigualdad global. Santillana<U+00A0>…, 2012","37","2012"
"120","Under the Thumb of History? Political institutions and the Scope for Action","AV Banerjee, E Duflo","Annu. Rev. Econ. 6 (1), 951-971, 2014","36","2014"
"121","Education and fertility: Experimental evidence from Kenya","E Duflo, P Dupas, M Kremer","Unpublished Manuscript, J-PAL/MIT. Cambridge, MA, 2010","36","2010"
"122","Grandmothers and grandaughters: the effects of old age pension on child health in south africa","E Duflo","Cambridge, Mass.: MIT, Dept. of Economics, 2000","34","2000"
"123","The nature of credit constraints: Evidence from an Indian bank","A Banerjee, E Duflo","Manuscript, MIT. Available at: http://www. chicagobooth. edu/research<U+00A0>…, 2001","33","2001"
"124","Using gossips to spread information: Theory and evidence from two randomized controlled trials","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","The Review of Economic Studies 86 (6), 2453-2490, 2019","32","2019"
"125","Aging and Death under a Dollar a Day","AV Banerjee, E Duflo","Research Findings in the Economics of Aging, 169-203, 2010","31","2010"
"126","Lutter contre la pauvreté: Le développement humain","E Duflo",NA,"31","2010"
"127","Improving health care delivery in India","A Banerjee, E Duflo","Deaton Festshrift Conference, September, http://economics. mit. edu/files/5172, 2009","31","2009"
"128","Can e-governance reduce capture of public programs? Experimental evidence from a financial reform of India’s employment guarantee","A Banerjee, E Duflo, C Imbert, S Mathew, R Pande","Accessed February 15, 2017, 2014","29","2014"
"129","The long term impacts of a “Graduation” program: Evidence from West Bengal","A Banerjee, E Duflo, R Chattopadhyay, J Shapiro","Unpublished paper, Massachusetts Institute of Technology, Cambridge, MA, 2016","27","2016"
"130","évaluer l'impact des programmes d'aide au développement: le r<U+00F4>le des évaluations par assignation aléatoire","E Duflo","Revue d'économie du développement 13 (2), 185-226, 2005","27","2005"
"131","Efficiency and rent seeking in local government: Evidence from randomized policy experiments in India","E Duflo, G Fischer, R Chattopadhyay","Department of Economics, Massachusetts Institute of Technology, Cambridge<U+00A0>…, 2005","26","2005"
"132","Industrial restructuring in Russia: early reactions fo firms to the shock of liberalization1","E Duflo, C Senik‐Leygonie","Economics of Transition 5 (1), 45-62, 1997","26","1997"
"133","Can tracking improve learning? Evidence from Kenya","E Duflo, P Dupas, M Kremer","Education Next 9 (3), 64-71, 2009","25","2009"
"134","The price is wrong","MA Bates, R Glennerster, K Gumede, E Duflo","Field Actions Science Reports. The Journal of Field Actions, 2012","24","2012"
"135","Social experiments to fight poverty","E Duflo","TED Talk, 2010","24","2010"
"136","What do banks (not) do?","A Banerjee, E Duflo","Economic and Political Weekly, 4212-4213, 2004","24","2004"
"137","Randomized evaluations of interventions in social service delivery","E Duflo, R Glennerster, M Kremer","Development Outreach 6 (1), 26-29, 2004","24","2004"
"138","Movies, margins, and marketing: Encouraging the adoption of iron-fortified salt","A Banerjee, S Barnhardt, E Duflo","Insights in the Economics of Aging, 285-306, 2015","23","2015"
"139","Up in smoke: the influence of household behavior on the long-run impact of improved cooking stoves","E Duflo, M Greenstone, R Hanna","NBER Working Paper 18033, 2012","23","2012"
"140","Monitoring Works: Getting Teachers to Come to School. NBER Working Paper No. 11880.","E Duflo, R Hanna","National Bureau of Economic Research, 2005","23","2005"
"141","Cognitive science in the field: A preschool intervention durably enhances intuitive but not formal mathematics","MR Dillon, H Kannan, JT Dean, ES Spelke, E Duflo","Science 357 (6346), 47-55, 2017","22","2017"
"142","Women politicians, gender bias, and policy-making in rural India","L Beaman, E Duflo, R Pande, P Topalova","Unknown Publisher, 2006","22","2006"
"143","Come play with me: Experimental evidence of information diffusion about rival goods","A Banerjee, E Breza, AG Chandrasekhar, E Duflo, M Jackson","Work in Progress, 2012","21","2012"
"144","Politics as a male domain and empowerment in India","L Beaman, R Pande, A Cirone","The impact of gender quotas 13, 2012","21","2012"
"145","Evaluating the impact of development aid programmes: the role of randomised evaluations","E Duflo","Development Aid: Why and How? Towards strategies for effectiveness, 2005","21","2005"
"146","What does reputation buy? differentiation in a market for third-party auditors","E Duflo, M Greenstone, R Pande, N Ryan","American Economic Review 103 (3), 314-19, 2013","20","2013"
"147","Bank Finance in India","AV Banerjee, S Cole, E Duflo","In, 2005","19","2005"
"148","Implications of information and social interactions for retirement saving decisions","E Duflo, E Saez","Pension Research Council 13, 1-28, 2003","19","2003"
"149","Handbook of development economics","E Duflo, R Glennerster, M Kremer, TP Schultz, J Strauss","North Holland 4, 3895-962, 2007","18","2007"
"150","Intrahousehold resource allocation in Cote D'Ivoire: Social norms, separate accounts and consumption choices","CR Udry, E Duflo","Yale School of Management Working Papers, 2004","18","2004"
"151","Handbook of Field Experiments","E Duflo, A Banerjee","Elsevier, 2017","17","2017"
"152","Default and punishment: Incentives and lending behavior in Indian banks","A Banerjee, S Cole, E Duflo","Manuscript. Harvard Business School, 2009","17","2009"
"153","Changes in social network structure in response to exposure to formal credit markets","AV Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","Available at SSRN 3245656, 2018","16","2018"
"154","Balancing growth with equity: the view from Development","E Duflo","trabajo preparado para The Jackson Hole 2011 symposium, 2011","16","2011"
"155","Peer effects, teacher incentives, and the impact of tracking","M Kremer, E Duflo, P Dupas","American Economic Review 101 (5 (August 2011)), 2011","16","2011"
"156","Inequality and growth","AV Banerjee, E Duflo","National Bureau of Economic Research, 2000","16","2000"
"157","Entry, exit and candidate selection: Evidence from India","AV Banerji, C Imbert, R Pande",NA,"15","2013"
"158","Is decentralized iron fortification a feasible option to fight anemia among the poorest?","A Banerjee, E Duflo, R Glennerster","Explorations in the Economics of Aging, 317-344, 2011","14","2011"
"159","Can iron-fortified salt control anemia? Evidence from two experiments in rural Bihar","A Banerjee, S Barnhardt, E Duflo","Journal of Development Economics 133, 127-146, 2018","13","2018"
"160","Microcrédit, miracle ou désastre?","E Duflo","Problemes Economiques, 10, 2011","13","2011"
"161","Handbook of Field Experiments","AV Banerjee, E Duflo, JM Gueron, S Athey, GW Imbens, S Chassang, ...","Elsevier North Holland, 2017","12","2017"
"162","The miracle of microfinance","E Duflo, A Banerjee, R Glennerster, CG Kinnan","Evidence from a Randomized Evaluation, 2013","12","2013"
"163","Community involvement in public goods provision: Evidence from a field experiment in Ghana","TF Walker","International Growth Centre. Working Paper 11 (0069), 1-28, 2011","12","2011"
"164","Microcredit is not the enemy","A Banerjee, P Bardhan, E Duflo, E Field, D Karlan, A Khwaja, ...","Financial Times 13, 2010","12","2010"
"165","M. Kremer, 2007,“Using Randomization in Development Economics Research: A Tool Kit,”","E Duflo, R Glennerster","Centre for Economic Policy Research, 0","12",NA
"166","The efficient deployment of police resources: theory and new evidence from a randomized drunk driving crackdown in India","A Banerjee, E Duflo, D Keniston, N Singh","National Bureau of Economic Research Working Paper Series, 2019","11","2019"
"167","The influence of randomized controlled trials on development economics research and on development policy","AV Banerjee, E Duflo, M Kremer","The State of Economics, The State of the World Conference at the World Bank, 2016","11","2016"
"168","Understanding Technology Adoption: Fertilizer in Western Kenya","E Duflo, M Kremer, J Robinson",NA,"11","2005"
"169","Use of Randomization in the Evaluation of Development Effectiveness: Paper Prepared for the World Bank Operations Evaluation Department (OED) Conference on Evaluation and<U+00A0>…","E Duflo, M Kremer","World Bank, 2003","11","2003"
"170","Poor economics: Pl<U+00E4>doyer für ein neues Verst<U+00E4>ndnis von Armut","AV Banerjee, E Duflo","Albrecht Knaus Verlag, 2012","10","2012"
"171","Improving access to urban services for the poor","E Duflo, S Galiani, M Mobarak","Edited by Jasmine Shah. Cambridge, Massachusetts. https://www. google. co<U+00A0>…, 2012","10","2012"
"172","Comparative cost-effectiveness to inform policy in developing countries","I Dhaliwal, E Duflo, R Glennerster, C Tulloch","Unpublished manuscript, Abdul Latif Jameel Poverty Action Lab, MIT, 2011","10","2011"
"173","Help microfinance, don’t kill it","A Banerjee, P Bardhan, E Duflo, E Field, D Karlan, A Khwaja, ...","Indian Express, 2010","10","2010"
"174","The value of discretion in the enforcement of regulation: Experimental evidence and structural estimates from environmental inspections in india","E Duflo, M Greenstone, R Pande, N Ryan","Econometrica (forthcoming), 2018","9","2018"
"175","Teaching at the right level: Evidence from randomized evaluations in India","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukherji, M Walton","NBER Working Paper, 2015","9","2015"
"176","Crime, punishment and monitoring: Deterring drunken driving in India","A Banerjee, E Duflo, D Keniston, N Singh","Manuscript. Abdul Latif Jameel Poverty Action Lab. Massachusetts Institute<U+00A0>…, 2012","9","2012"
"177","Wealth, health, and health services in rural Rajasthan","A Banerjee, A Deaton, E Duflo","Massachusetts Institute of Technology, 2003","9","2003"
"178","R. and Kremer, M.(2008).“","EG Duflo","Using Randomization in Development Economics Research: A Toolkit.” In<U+00A0>…, 0","9",NA
"179","Truth-telling by third-party auditors: Evidence from a randomized field experiment in India","E Duflo, M Greenstone, R Pande, N Ryan","21st BREAD Conference, 12-13, 2012","8","2012"
"180","L'economia dei poveri: capire la vera natura della povertà per combatterla","AV Banerjee, E Duflo","Feltrinelli, 2012","8","2012"
"181","Why aren't children learning","AV Banerjee, E Duflo","Development Outreach 13 (1), 36-44, 2011","8","2011"
"182","Nudging Farmers to Use Fertilizer: Theory and","E Duflo, M Kremer, J Robinson",NA,"8","2011"
"183","Towards an emissions trading scheme for air pollutants in india","E Duflo, M Greenstone, R Pande, N Ryan","MIT Center for Energy and Environmental Policy Research, 2010","8","2010"
"184","Using randomization in development economics research: a toolkit. Centre for Economic Policy Research","E Duflo, R Glennerster, M Kremer","Discussion Paper, 2007","8","2007"
"185","Dams","R Pande, E Duflo","National Bureau of Economic Research, 2005","8","2005"
"186","Effets du dispositif d'accompagnement à la création d'entreprise CréaJeunes: Résultats d'une expérience contr<U+00F4>lée","B Crépon, E Huillery, E Duflo, W Parienté, J Seban","Sciences Po publications, 2014","7","2014"
"187","Nudging Farmers to Utilize Fertilizer: Theory and Experimental Evidence from Kenya","E Duflo, M Kremer, J Robinson","CEPR Discussion Paper No. DP7402, 2009","7","2009"
"188","Targeting Efficiency: How well can we identify the poorest of the poor?","A Banerjee, E Duflo, R Chattopadhyay, J Shapiro","Institute for Financial Management and Research Centre for Micro Finance<U+00A0>…, 2009","7","2009"
